,,,Relative and interrogative,,Demonstrative,,Indeterminate,,Most Indeterminate,Negative,,Collective,
Esperanto,Ido,,Esperanto,Ido,Esperanto,Ido,Ido,Esperanto,Ido,Esperanto,Ido
ki-," qua, ∅ ",,ti-," ita, ∅ ",i-," ula, ∅ ",irga,neni-,nula,ĉi-,omna
Individual,Esperanto,-u,kiu,,tiu,,iu,,,neniu,,ĉiu,
,Ido,-u,qua,,ita,,ulu,,irgu,nulu,,omnu,
Thing,Esperanto,-o,kio,,tio,,io,,,nenio,,ĉio,
,Ido,-o,quo,,ito,,ulo,,irgo,nulo,,omno,
Plural,Esperanto,-j,kiuj/kioj,,tiuj/tioj,,iuj/ioj,,,neniuj/nenioj,,ĉiuj/ĉioj,
,Ido,-i,qui,,iti,,uli,,irgi,nuli,,omni,
Adjective,Ido,-a,qua,,ita,,ula,,irga,nula,,omna,
Motive,Esperanto,-al,kial,,tial,,ial,,,nenial,,ĉial,
,Ido,pro,pro quo,,pro to,,pro ulo,,pro irgo,pro nulo,,pro omno,
Association,Esperanto,-es,kies,,ties,,ies,,,nenies,,ĉies,
,Ido,di,di quo,,di to,,di ulo,,di irgo,di nulo,,di omno,
Place,Esperanto,-e,kie,,tie,,ie,,,nenie,,ĉie,
,Ido,loke,ube,,ibe,,ulaloke,,irgaloke,nulaloke,,omnaloke,
Time,Esperanto,-am,kiam,,tiam,,iam,,,neniam,,ĉiam,
,Ido,tempe,kande,,lore,,ulatempe,,irgatempe,nulatempe,," omnatempe, sempre ",
Quality,Esperanto,-a,kia,,tia,,ia,,,nenia,,ĉia,
,Ido," -a, speca ",quala,,tala,,ulaspeca,,irgaspeca,nulaspeca,,omnaspeca,
Manner,Esperanto,-el,kiel,,tiel,,iel,,,neniel,,ĉiel,
,Ido," -e, maniere ",quale,,tale,," ule, ulamaniere ",," irge, irgamaniere "," nule, nulamaniere ",," omne, omnamaniere ",
Quantity – adjective,Esperanto,-om,kiom,,tiom,,iom,,,neniom,,ĉiom,
,Ido,quanta,quanta,,tanta,,kelka,,irgaquanta,nulaquanta,,omnaquanta,
