Tone name,Yin level 陰平(1),Yin rising 陰上(2),Yin departing 陰去(3),Yin entering 陰入(4),Yang level 陽平(5),Yang rising 陽上(6),Yang departing 陽去(7),Yang entering 陽入(8),High rising (9),Neutral tone (0)
International Phonetic Alphabet,a˥,a˥˧,a˨˩,ap˩ at˩ ak˩ aʔ˩,a˧˥,,a˧,ap˥ at˥ ak˥ aʔ˥,a˥˥,a˨
Pe̍h-ōe-jī,a,á,à,ap at ak ah,â,,ā,a̍p a̍t a̍k a̍h,,--a
" Revised Taiwanese Language Phonetic Alphabet, Taiwanese Language Phonetic Alphabet",a1,a2,a3,ap4 at4 ak4 ah4,a5,a6,a7,ap8 at8 ak8 ah8,a9,a0
Bbánlám Hōngggián Pīnyīn Hōngàn,ā,ǎ,à,āp āt āk āh,á,,â,áp át ák áh,,
Modern Literal Taiwanese,af,ar,ax,ab ad ag aq,aa,aar,a,ap at ak ah,,~a
Daighi tongiong pingim,a,à,â,āp āt āk āh,ǎ,,ā,ap at ak ah,á,å
Taiwanese kana (normal vowels),アア,アア//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Taiwanese_kana_normal_tone_2.png/15px-Taiwanese_kana_normal_tone_2.png,アア//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Taiwanese_kana_normal_tone_3.png/15px-Taiwanese_kana_normal_tone_3.png,アㇷ゚//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taiwanese_kana_normal_tone_4.png/15px-Taiwanese_kana_normal_tone_4.png アッ//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taiwanese_kana_normal_tone_4.png/15px-Taiwanese_kana_normal_tone_4.png アㇰ//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taiwanese_kana_normal_tone_4.png/15px-Taiwanese_kana_normal_tone_4.png アァ//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taiwanese_kana_normal_tone_4.png/15px-Taiwanese_kana_normal_tone_4.png,アア//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Taiwanese_kana_normal_tone_5.png/15px-Taiwanese_kana_normal_tone_5.png,,アア//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Taiwanese_kana_normal_tone_7.png/15px-Taiwanese_kana_normal_tone_7.png,アㇷ゚//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Taiwanese_kana_normal_tone_8.png/15px-Taiwanese_kana_normal_tone_8.png アッ//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Taiwanese_kana_normal_tone_8.png/15px-Taiwanese_kana_normal_tone_8.png アㇰ//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Taiwanese_kana_normal_tone_8.png/15px-Taiwanese_kana_normal_tone_8.png アァ//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Taiwanese_kana_normal_tone_8.png/15px-Taiwanese_kana_normal_tone_8.png,,
Taiwanese kana (nasal vowels),アア//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Taiwanese_kana_nasal_tone_1.png/15px-Taiwanese_kana_nasal_tone_1.png,アア//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Taiwanese_kana_nasal_tone_2.png/15px-Taiwanese_kana_nasal_tone_2.png,アア//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Taiwanese_kana_nasal_tone_3.png/15px-Taiwanese_kana_nasal_tone_3.png,アㇷ゚//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Taiwanese_kana_nasal_tone_4.png/15px-Taiwanese_kana_nasal_tone_4.png アッ//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Taiwanese_kana_nasal_tone_4.png/15px-Taiwanese_kana_nasal_tone_4.png アㇰ//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Taiwanese_kana_nasal_tone_4.png/15px-Taiwanese_kana_nasal_tone_4.png アァ//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Taiwanese_kana_nasal_tone_4.png/15px-Taiwanese_kana_nasal_tone_4.png,アア//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Taiwanese_kana_nasal_tone_5.png/15px-Taiwanese_kana_nasal_tone_5.png,,アア//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Taiwanese_kana_nasal_tone_7.png/15px-Taiwanese_kana_nasal_tone_7.png,アㇷ゚//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Taiwanese_kana_nasal_tone_8.png/15px-Taiwanese_kana_nasal_tone_8.png アッ//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Taiwanese_kana_nasal_tone_8.png/15px-Taiwanese_kana_nasal_tone_8.png アㇰ//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Taiwanese_kana_nasal_tone_8.png/15px-Taiwanese_kana_nasal_tone_8.png アァ//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Taiwanese_kana_nasal_tone_8.png/15px-Taiwanese_kana_nasal_tone_8.png,,
Taiwanese Phonetic Symbols Taiwanese Phonetic Symbols,ㄚ,ㄚˋ,ㄚ˪,ㄚㆴ ㄚㆵ ㄚㆶ ㄚㆷ,ㄚˊ,,ㄚ˫,ㄚㆴ˙ ㄚㆵ˙ ㄚㆶ˙ ㄚㆷ˙,,
Taiwanese Romanization System,a,á,à,ah,â,ǎ,ā,a̍h,a̋,--ah
Example (Traditional Chinese),公司,報紙,興趣,血壓 警察 中國 牛肉,人員,,草地,配合 法律 文學 歇熱,昨昏,入去
Example (Simplified Chinese),公司,报纸,兴趣,血压 警察 中国 牛肉,人员,,草地,配合 法律 文学 歇热,昨昏,入去
