Aspect,Esperanto,Ido,Example
Alphabet," uses diacritics(ĉ, ĝ, ĥ, ĵ, ŝ, ŭ)and a digraph(dz)"," uses digraphs(ch, sh, qu)"," Translation of ""chamber"", ""shoe"", and ""square"":redĉambro / redŝuo / redkvadrato (Esp.)redchambro / redshuo / redquadrato (Ido)"
Gender,masculine by default;feminine optional,gender-neutral by default;masculine and feminine optional," Gender of ""elephant"":elefanto (default) / elefantino (fem.) (Esp.)elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)"
Antonyms,formed by mal- prefix,come fromnatural vocabulary," Translation of ""warm"" and ""cold"":varma / redmalvarma (Esp.)varma / kolda (Ido)"
Infinitives,-i suffix,-ar suffix," Translation of ""to go"":irredi (Esp.)irredar (Ido)"
Imperative,-u suffix,-ez suffix," Translation of ""go!"":irredu! (Esp.)irredez! (Ido)"
Plural noun,-oj suffix(agglutinative),-i suffix(synthetic)," Plural of domo (""house""):domredoj (Esp.)domredi (Ido)"
Adjectives,Agree with nouns,Not declined," Translation of ""big dogs"":grandaredj hundoj (Esp.)granda hundi (Ido)"
Accusativeform,Mandatory,Only when objectprecedes subject," Translation of ""I drink milk"" / ""I milk drink"":""mi trinkas laktoredn"" / ""mi lakton trinkas"" (Esp.)""me drinkas lakto"" / ""me lakton drinkas"" (Ido)"
Propernouns,Sometimes rendered,Never rendered," Translation of ""Europe"":Eŭropo (Esp.)Europa (Ido)"
No. ofspeakers," c. 100,000–2,000,000"," c. 100–1,000",
